"weekday","hour","intensity","rank"
"Friday",19,"0.39610215322580633","1"
"Friday",18,"0.37688172580645185","2"
"Friday",17,"0.3150537741935484","3"
"Friday",14,"0.3038665999999999","4"
"Monday",18,"0.39703393220338984","1"
"Monday",19,"0.3805084491525426","2"
"Monday",17,"0.36793788135593225","3"
"Monday",10,"0.340833375","4"
"Saturday",13,"0.4892561735537191","1"
"Saturday",12,"0.40371906611570246","2"
"Saturday",14,"0.39462811570247924","3"
"Saturday",11,"0.3808540082644628","4"
"Sunday",17,"0.3433333083333334","1"
"Sunday",14,"0.3362259008264464","2"
"Sunday",10,"0.3359504049586776","3"
"Sunday",18,"0.3165277666666666","4"
"Thursday",17,"0.37089946031746035","1"
"Thursday",19,"0.34232807142857147","2"
"Thursday",18,"0.3304232936507938","3"
"Thursday",16,"0.33015870634920647","4"
"Tuesday",17,"0.3888888733333334","1"
"Tuesday",18,"0.38077776","2"
"Tuesday",12,"0.38033330666666676","3"
"Tuesday",19,"0.3574444333333333","4"
"Wednesday",17,"0.43571430612244894","1"
"Wednesday",18,"0.42052157142857133","2"
"Wednesday",19,"0.35124717687074825","3"
"Wednesday",14,"0.3231292789115645","4"
